Year,Player,GradStatus,School,Conference,Team,Round,PickNumber,Height,Weight,FortyYdSpr,JmpVert,BPress,BrJump,ThreeCone,RunShut,BMI,Player_Type,Position_Type,Position,Drafted,filter_$
2009,James Davis\DaviJa03,    2.00,Clemson,AFC,ClevelandBrowns,Late,195,1.8034,98.88313666,4.45,81.28,17,276.86,7.15,4.37,30.40451664,offense,backs_receivers,RB,Yes,1
2009,Coye Francies\FranCo99,    2.00,San Jose St.,AFC,ClevelandBrowns,Late,191,1.8288,83.91458845,4.63,91.44,24,312.42,6.81,4.24,25.09025313,defense,defensive_back,CB,Yes,1
2009,Robert Brewster\BrewRo20,    2.00,Ball St.,NFC,DallasCowboys,Middle,75,1.9304,147.4175203,5.29,77.47,23,248.92,7.68,4.75,39.55983611,offense,offensive_lineman,OT,Yes,1
2009,DeAngelo Smith\SmitDe98,    2.00,Cincinnati,NFC,DallasCowboys,Middle,143,1.8034,87.99691978,4.5,80.01,17,276.86,7.27,4.35,27.0572304,defense,defensive_back,CB,Yes,1
2009,John Phillips\PhilJo00,    1.00,Virginia,NFC,DallasCowboys,Late,208,1.9558,113.8516849,4.78,85.09,20,284.48,6.84,4.27,29.76395083,offense,backs_receivers,TE,Yes,1
2009,Stephen Hodge\HodgSt99,    1.00,TCU,NFC,DallasCowboys,Late,197,1.8288,106.1406146,4.59,88.9,22,292.1,7.21,4.34,31.73577964,defense,line_backer,OLB,Yes,1
2009,Victor Butler\ButlVi99,    1.00,Oregon St.,NFC,DallasCowboys,Middle,110,1.8796,112.4909078,4.72,83.82,24,287.02,7.21,4.4,31.840989,defense,line_backer,OLB,Yes,1
2009,Michael Hamlin\HamlMi99,    2.00,Clemson,NFC,DallasCowboys,Middle,166,1.8796,97.06876718,4.57,95.25,17,297.18,7.14,4.42,27.47569212,defense,defensive_back,SS,Yes,1
2009,Knowshon Moreno\MoreKn00,    1.00,Georgia,AFC,DenverBroncos,Early,12,1.8034,98.42954429,4.5,90.17,25,292.1,6.84,4.27,30.26504638,offense,backs_receivers,RB,Yes,1
2009,Richard Quinn\QuinRi00,    2.00,North Carolina,AFC,DenverBroncos,Early,64,1.9304,119.7483857,4.88,82.55,24,302.26,7.5,4.62,32.13475918,offense,backs_receivers,TE,Yes,1
2009,Darcel McBath\McBaDa99,    2.00,Texas Tech,AFC,DenverBroncos,Early,48,1.8288,89.81128926,4.53,96.52,14,302.26,6.8,4.16,26.853352,defense,defensive_back,FS,Yes,1
2009,Alphonso Smith\SmitAl98,    2.00,Wake Forest,AFC,DenverBroncos,Early,37,1.7526,87.54332741,4.47,86.36,13,317.5,7.09,4.38,28.50082522,defense,defensive_back,CB,Yes,1
2009,Seth Olsen\OlseSe20,    2.00,Iowa,AFC,DenverBroncos,Middle,132,1.9558,138.7992652,5.23,62.23,23,228.6,7.59,4.7,36.28593209,offense,offensive_lineman,OG,Yes,1
2009,Robert Ayers\AyerRo99,    2.00,Tennessee,AFC,DenverBroncos,Early,18,1.905,123.3771246,4.77,74.93,18,259.08,7.56,4.51,33.99732012,defense,defensive_lineman,DE,Yes,1
2009,David Bruton\BrutDa99,    1.00,Notre Dame,AFC,DenverBroncos,Middle,114,1.8796,99.33672903,4.4,105.41,19,335.28,6.6,4.28,28.11764754,defense,defensive_back,FS,Yes,1
2009,Dan Gronkowski\GronDa00,    2.00,Maryland,NFC,DetroitLions,Late,255,1.9558,115.6660544,4.79,83.82,26,309.88,6.92,4.26,30.23827674,offense,backs_receivers,TE,Yes,1
2009,Louis Delmas\DelmLo99,    1.00,West. Michigan,NFC,DetroitLions,Early,33,1.8034,91.62565874,4.52,93.98,12,320.04,6.67,4.17,28.17299248,defense,defensive_back,FS,Yes,1
2009,Brandon Pettigrew\PettBr00,    2.00,Oklahoma St.,NFC,DetroitLions,Early,20,1.9558,119.2947933,4.8,83.82,22,299.72,7.12,4.37,31.18692856,offense,backs_receivers,TE,Yes,1
2009,Lydon Murtha\MurtLy20,    2.00,Nebraska,NFC,DetroitLions,Late,228,2.0066,138.7992652,4.82,88.9,25,279.4,7.06,4.34,34.47192619,offense,offensive_lineman,OT,Yes,1
